Status,Course,Section,Instructor,Enrollment,Meeting Pattern,Reason
SCHEDULED,111,2,Reynolds,74,"M,W 08:00 AM-09:15 AM",Source: template
SCHEDULED,111,3,Richardson,69,"M,W 11:00 AM-12:15 PM",Source: template
SCHEDULED,111,5,"Giles, Steven",35,"M,W 02:00 PM-03:15 PM",Source: template
SCHEDULED,393,1,Reynolds,49,"T,Th 08:00 AM-09:15 AM",Source: template
SCHEDULED,452,1,Reynolds,69,"M,W 12:30 PM-01:45 PM",Source: template
SCHEDULED,452,2,Reynolds,25,"M,W 02:00 PM-03:15 PM",Source: template
SCHEDULED,479,1,Ringger,20,"M,W 03:30 PM-04:45 PM",Source: template
SCHEDULED,601R,1,Ringger,15,Th 11:00 AM-11:50 AM,Source: template
SCHEDULED,340,1,Rodham,55,"M,W 03:00 PM-04:50 PM",Source: template
SCHEDULED,340,2,Wilkerson,56,"M,W 01:00 PM-02:50 PM",Source: template
SCHEDULED,340,3,Wilkerson,40,"M,W 01:00 PM-02:50 PM",Source: template
SCHEDULED,324,1,Seamons,79,"M,W,F 10:00 AM-10:50 AM",Source: template
SCHEDULED,324,2,"Dougal, Duane",32,"M,W,F 11:00 AM-11:50 AM",Source: template
SCHEDULED,574,1,Snell,29,"T,Th 03:30 PM-04:45 PM",Source: template
SCHEDULED,580,1,Warnick,31,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,473,1,Wingate,32,"M,W 02:00 PM-03:15 PM",Source: template
SCHEDULED,674,1,Wingate,42,"T,Th 08:00 AM-09:15 AM",Source: template
SCHEDULED,465,1,Zappala,30,"T,Th 02:00 PM-03:15 PM",Source: template
SCHEDULED,405,1,"Earnshaw, Craig",18,"T,Th 12:30 PM-01:45 PM",Source: template
SCHEDULED,404,1,"Gates, Darin",51,"T,Th 12:30 PM-01:45 PM",Source: template
SCHEDULED,404,2,"Gates, Darin",30,"T,Th 03:30 PM-04:45 PM",Source: template
SCHEDULED,428,1,"Webster, Bruce",32,M 02:00 PM-04:50 PM,Source: template
SCHEDULED,235E,1,"Barton, Dylan",30,"T,Th 06:30 PM-07:45 PM",Source: ilp
SCHEDULED,111E,1,"Cluff, Andrew",30,"T,Th 06:30 PM-07:45 PM",Source: ilp
SCHEDULED,110E,1,"Hansen, Bruce",30,"T,Th 05:00 PM-06:15 PM",Source: ilp
SCHEDULED,345E,1,"Judd, Glenn",30,"T,Th 05:00 PM-06:15 PM",Source: ilp
UNSCHEDULED,301R,1,Bean,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,301R,2,MJ,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,301R,3,Stephens,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,235,1,Crandall,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,235,2,Crandall,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,235,3,Crandall,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,235,4,Crandall,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,235,5,Stephens,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,493,1,Farrell,N/A,"T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,401RT,1,Team:Grimsman/Killian,N/A,"T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,240,1,Jensen,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,240,2,Jensen,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,240,3,Jensen,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,240,4,Rodham,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,240,5,Rodham,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,240,6,Wilkerson,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,270,1,MJ,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,270,2,MJ,N/A,"M, W, ,,  , T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,601RB,1,Page,N/A,"T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,704R,1,Richardson,N/A,"T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,673,1,Ventura,N/A,"T, T, h",ILP solver could not find feasible assignment
UNSCHEDULED,312B,1,Williams,N/A,"M, W, F",ILP solver could not find feasible assignment
UNSCHEDULED,312B,2,Williams,N/A,"M, W, F",ILP solver could not find feasible assignment
UNSCHEDULED,418,1,Williams,N/A,"M, W, F",ILP solver could not find feasible assignment
UNSCHEDULED,191/291T,1,"Team:Zappala/Dougal, Duane",N/A,"T, T, h",ILP solver could not find feasible assignment
